,word,rank,layer
16,до,50,0
16,до,50,0
16,до,50,0
16,до,50,0
16,до,50,0
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,1
16,до,50,2
16,до,50,4
16,до,50,4
16,до,50,4
16,до,50,4
16,до,50,4
16,до,50,4
16,до,50,4
16,до,50,5
16,до,50,5
16,до,50,5
16,до,50,5
16,до,50,5
16,до,50,6
16,до,50,6
16,до,50,6
16,до,50,6
16,до,50,7
16,до,50,7
16,до,50,8
16,до,50,9
16,до,50,9
16,до,50,9
16,до,50,11
17,когда,53,0
17,когда,53,0
17,когда,53,0
17,когда,53,0
17,когда,53,0
17,когда,53,0
17,когда,53,0
17,когда,53,0
17,когда,53,0
17,когда,53,0
17,когда,53,0
17,когда,53,0
17,когда,53,0
17,когда,53,0
17,когда,53,0
17,когда,53,0
17,когда,53,0
17,когда,53,0
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,1
17,когда,53,3
17,когда,53,4
17,когда,53,4
17,когда,53,4
17,когда,53,4
17,когда,53,5
17,когда,53,5
17,когда,53,5
17,когда,53,5
17,когда,53,6
17,когда,53,6
17,когда,53,6
17,когда,53,7
17,когда,53,8
17,когда,53,9
17,когда,53,9
17,когда,53,11
18,дело,63,0
18,дело,63,0
18,дело,63,0
18,дело,63,1
18,дело,63,1
18,дело,63,1
18,дело,63,1
18,дело,63,1
18,дело,63,1
18,дело,63,1
18,дело,63,1
18,дело,63,2
18,дело,63,4
18,дело,63,4
18,дело,63,5
18,дело,63,5
18,дело,63,5
18,дело,63,6
18,дело,63,6
18,дело,63,6
18,дело,63,7
18,дело,63,9
18,дело,63,9
19,два,73,0
19,два,73,0
19,два,73,0
19,два,73,1
19,два,73,1
19,два,73,1
19,два,73,1
19,два,73,1
19,два,73,1
19,два,73,1
19,два,73,1
19,два,73,1
19,два,73,1
19,два,73,1
19,два,73,1
19,два,73,1
19,два,73,1
19,два,73,1
19,два,73,1
19,два,73,1
19,два,73,1
19,два,73,1
19,два,73,1
19,два,73,1
19,два,73,1
19,два,73,1
19,два,73,1
19,два,73,2
19,два,73,4
19,два,73,4
19,два,73,4
19,два,73,5
19,два,73,5
19,два,73,5
19,два,73,5
19,два,73,5
19,два,73,5
19,два,73,7
19,два,73,9
19,два,73,10
19,два,73,11
20,кто,80,0
20,кто,80,0
20,кто,80,0
20,кто,80,1
20,кто,80,1
20,кто,80,1
20,кто,80,1
20,кто,80,1
20,кто,80,1
20,кто,80,1
20,кто,80,1
20,кто,80,1
20,кто,80,1
20,кто,80,1
20,кто,80,1
20,кто,80,1
20,кто,80,1
20,кто,80,1
20,кто,80,1
20,кто,80,1
20,кто,80,1
20,кто,80,1
20,кто,80,1
20,кто,80,2
20,кто,80,2
20,кто,80,4
20,кто,80,4
20,кто,80,4
20,кто,80,5
20,кто,80,5
20,кто,80,5
20,кто,80,5
20,кто,80,6
20,кто,80,6
20,кто,80,7
20,кто,80,8
20,кто,80,9
20,кто,80,9
20,кто,80,9
21,идти,88,0
21,идти,88,0
21,идти,88,0
21,идти,88,1
21,идти,88,1
21,идти,88,1
21,идти,88,1
21,идти,88,1
21,идти,88,1
21,идти,88,1
21,идти,88,1
21,идти,88,1
21,идти,88,1
21,идти,88,1
21,идти,88,2
21,идти,88,4
21,идти,88,4
21,идти,88,5
21,идти,88,5
21,идти,88,5
21,идти,88,6
21,идти,88,6
21,идти,88,7
21,идти,88,7
21,идти,88,7
21,идти,88,7
21,идти,88,7
21,идти,88,9
21,идти,88,9
21,идти,88,11
22,должен,94,0
22,должен,94,0
22,должен,94,0
22,должен,94,1
22,должен,94,1
22,должен,94,1
22,должен,94,1
22,должен,94,1
22,должен,94,1
22,должен,94,1
22,должен,94,1
22,должен,94,1
22,должен,94,1
22,должен,94,1
22,должен,94,1
22,должен,94,1
22,должен,94,1
22,должен,94,1
22,должен,94,2
22,должен,94,4
22,должен,94,4
22,должен,94,4
22,должен,94,5
22,должен,94,5
22,должен,94,5
22,должен,94,6
22,должен,94,7
22,должен,94,7
22,должен,94,7
22,должен,94,7
22,должен,94,7
22,должен,94,9
22,должен,94,9
22,должен,94,11
23,хотеть,98,0
23,хотеть,98,0
23,хотеть,98,0
23,хотеть,98,1
23,хотеть,98,1
23,хотеть,98,1
23,хотеть,98,1
23,хотеть,98,1
23,хотеть,98,1
23,хотеть,98,1
23,хотеть,98,1
23,хотеть,98,1
23,хотеть,98,1
23,хотеть,98,1
23,хотеть,98,1
23,хотеть,98,2
23,хотеть,98,4
23,хотеть,98,4
23,хотеть,98,5
23,хотеть,98,5
23,хотеть,98,5
23,хотеть,98,6
23,хотеть,98,6
23,хотеть,98,7
23,хотеть,98,9
23,хотеть,98,9
23,хотеть,98,10
23,хотеть,98,11
24,здесь,106,0
24,здесь,106,0
24,здесь,106,0
24,здесь,106,0
24,здесь,106,0
24,здесь,106,0
24,здесь,106,0
24,здесь,106,0
24,здесь,106,0
24,здесь,106,0
24,здесь,106,0
24,здесь,106,0
24,здесь,106,0
24,здесь,106,0
24,здесь,106,0
24,здесь,106,0
24,здесь,106,0
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,1
24,здесь,106,2
24,здесь,106,2
24,здесь,106,3
24,здесь,106,4
24,здесь,106,4
24,здесь,106,4
24,здесь,106,4
24,здесь,106,4
24,здесь,106,4
24,здесь,106,4
24,здесь,106,4
24,здесь,106,4
24,здесь,106,5
24,здесь,106,5
24,здесь,106,5
24,здесь,106,5
24,здесь,106,5
24,здесь,106,5
24,здесь,106,5
24,здесь,106,5
24,здесь,106,5
24,здесь,106,5
24,здесь,106,6
24,здесь,106,6
24,здесь,106,6
24,здесь,106,6
24,здесь,106,6
24,здесь,106,7
24,здесь,106,7
24,здесь,106,7
24,здесь,106,7
24,здесь,106,7
24,здесь,106,7
24,здесь,106,7
24,здесь,106,9
24,здесь,106,9
24,здесь,106,9
24,здесь,106,10
24,здесь,106,10
24,здесь,106,10
24,здесь,106,11
25,взять,154,0
25,взять,154,0
25,взять,154,0
25,взять,154,1
25,взять,154,1
25,взять,154,1
25,взять,154,1
25,взять,154,1
25,взять,154,1
25,взять,154,1
25,взять,154,1
25,взять,154,2
25,взять,154,4
25,взять,154,4
25,взять,154,5
25,взять,154,5
25,взять,154,5
25,взять,154,6
25,взять,154,6
25,взять,154,6
25,взять,154,6
25,взять,154,6
25,взять,154,7
25,взять,154,7
25,взять,154,7
25,взять,154,9
25,взять,154,9
25,взять,154,11
26,хороший,165,0
26,хороший,165,0
26,хороший,165,0
26,хороший,165,1
26,хороший,165,1
26,хороший,165,1
26,хороший,165,1
26,хороший,165,1
26,хороший,165,1
26,хороший,165,1
26,хороший,165,1
26,хороший,165,1
26,хороший,165,1
26,хороший,165,1
26,хороший,165,1
26,хороший,165,1
26,хороший,165,2
26,хороший,165,4
26,хороший,165,4
26,хороший,165,4
26,хороший,165,5
26,хороший,165,5
26,хороший,165,5
26,хороший,165,5
26,хороший,165,6
26,хороший,165,6
26,хороший,165,6
26,хороший,165,7
26,хороший,165,7
26,хороший,165,7
26,хороший,165,9
26,хороший,165,11
27,спросить,167,0
27,спросить,167,0
27,спросить,167,0
27,спросить,167,1
27,спросить,167,1
27,спросить,167,1
27,спросить,167,1
27,спросить,167,1
27,спросить,167,1
27,спросить,167,1
27,спросить,167,1
27,спросить,167,1
27,спросить,167,1
27,спросить,167,1
27,спросить,167,1
27,спросить,167,1
27,спросить,167,1
27,спросить,167,1
27,спросить,167,1
27,спросить,167,1
27,спросить,167,1
27,спросить,167,1
27,спросить,167,1
27,спросить,167,2
27,спросить,167,2
27,спросить,167,4
27,спросить,167,4
27,спросить,167,4
27,спросить,167,5
27,спросить,167,5
27,спросить,167,5
27,спросить,167,5
27,спросить,167,5
27,спросить,167,5
27,спросить,167,6
27,спросить,167,6
27,спросить,167,6
27,спросить,167,6
27,спросить,167,6
27,спросить,167,6
27,спросить,167,6
27,спросить,167,7
27,спросить,167,7
27,спросить,167,7
27,спросить,167,7
27,спросить,167,7
27,спросить,167,7
27,спросить,167,7
27,спросить,167,8
27,спросить,167,8
27,спросить,167,8
27,спросить,167,9
27,спросить,167,9
27,спросить,167,9
27,спросить,167,10
27,спросить,167,11
27,спросить,167,11
28,оно,171,0
28,оно,171,0
28,оно,171,0
28,оно,171,1
28,оно,171,1
28,оно,171,1
28,оно,171,1
28,оно,171,1
28,оно,171,1
28,оно,171,1
28,оно,171,1
28,оно,171,1
28,оно,171,1
28,оно,171,1
28,оно,171,1
28,оно,171,1
28,оно,171,1
28,оно,171,1
28,оно,171,1
28,оно,171,1
28,оно,171,1
28,оно,171,1
28,оно,171,2
28,оно,171,3
28,оно,171,4
28,оно,171,4
28,оно,171,5
28,оно,171,5
28,оно,171,5
28,оно,171,6
28,оно,171,6
28,оно,171,6
28,оно,171,7
28,оно,171,7
28,оно,171,7
28,оно,171,9
28,оно,171,10
28,оно,171,11
29,остаться,184,0
29,остаться,184,0
29,остаться,184,0
29,остаться,184,0
29,остаться,184,0
29,остаться,184,1
29,остаться,184,1
29,остаться,184,1
29,остаться,184,1
29,остаться,184,1
29,остаться,184,1
29,остаться,184,1
29,остаться,184,1
29,остаться,184,1
29,остаться,184,1
29,остаться,184,1
29,остаться,184,1
29,остаться,184,1
29,остаться,184,1
29,остаться,184,1
29,остаться,184,1
29,остаться,184,1
29,остаться,184,1
29,остаться,184,1
29,остаться,184,1
29,остаться,184,1
29,остаться,184,1
